year,active_hmo_licences,licensed_bedrooms,provenance
2004,8,30,Original research report; 2018 and 2022 headline values reported in text
2005,9,36,Original research report; 2018 and 2022 headline values reported in text
2006,154,631,Original research report; 2018 and 2022 headline values reported in text
2007,205,834,Original research report; 2018 and 2022 headline values reported in text
2008,238,993,Original research report; 2018 and 2022 headline values reported in text
2009,289,1280,Original research report; 2018 and 2022 headline values reported in text
2010,403,1686,Original research report; 2018 and 2022 headline values reported in text
2011,277,1151,Original research report; 2018 and 2022 headline values reported in text
2012,354,1512,Original research report; 2018 and 2022 headline values reported in text
2013,290,1238,Original research report; 2018 and 2022 headline values reported in text
2014,220,894,Original research report; 2018 and 2022 headline values reported in text
2015,563,2318,Original research report; 2018 and 2022 headline values reported in text
2016,270,1164,Original research report; 2018 and 2022 headline values reported in text
2017,322,1310,Original research report; 2018 and 2022 headline values reported in text
2018,1262,7764,Original research report; 2018 and 2022 headline values reported in text
2019,,,Original research report; 2018 and 2022 headline values reported in text
2020,,,Original research report; 2018 and 2022 headline values reported in text
2021,,,Original research report; 2018 and 2022 headline values reported in text
2022,700,4347,Original research report; 2018 and 2022 headline values reported in text
